,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
124,female,group C,some college,standard,completed,married,never,no,6,school_bus,< 5,70,78,80
125,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1,private,> 10,76,80,76
126,male,group C,bachelor's degree,standard,incomplete,married,sometimes,yes,1,school_bus,< 5,56,54,47
127,male,group B,some high school,standard,completed,divorced,sometimes,yes,1,private,5 - 10,51,54,41
128,male,group E,high school,standard,incomplete,divorced,sometimes,yes,0,school_bus,< 5,67,54,54
129,female,group C,associate's degree,standard,incomplete,married,sometimes,yes,1,private,5 - 10,59,66,67
130,male,group D,some college,standard,completed,married,sometimes,yes,0,private,> 10,73,61,70
131,female,group D,some high school,standard,incomplete,married,sometimes,no,1,school_bus,5 - 10,76,72,71
132,female,group C,some college,free/reduced,incomplete,married,regularly,no,2,private,5 - 10,60,62,65
133,female,group E,some college,free/reduced,completed,single,regularly,yes,1,private,< 5,41,54,54
134,male,group A,high school,standard,incomplete,single,sometimes,no,1,school_bus,5 - 10,57,43,47
135,male,group D,some college,standard,incomplete,divorced,sometimes,yes,3,private,> 10,90,74,79
136,female,group C,some college,free/reduced,incomplete,single,regularly,yes,1,school_bus,< 5,21,38,33
137,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,private,< 5,65,73,79
138,male,group E,associate's degree,free/reduced,completed,married,regularly,no,3,private,5 - 10,100,100,95
139,male,group A,some high school,standard,completed,married,sometimes,no,2,private,5 - 10,62,67,69
140,female,group B,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,57,68,64
141,male,group D,bachelor's degree,standard,incomplete,married,sometimes,no,1,school_bus,5 - 10,54,49,47
142,male,group D,some high school,standard,incomplete,single,never,no,2,school_bus,< 5,58,65,58
143,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,< 5,69,88,88
144,female,group E,high school,free/reduced,completed,married,regularly,yes,1,school_bus,5 - 10,67,75,79
145,male,group B,some college,free/reduced,incomplete,married,sometimes,yes,2,school_bus,< 5,58,59,58
146,female,group B,associate's degree,standard,incomplete,divorced,regularly,yes,2,private,5 - 10,62,87,89
147,male,group D,associate's degree,free/reduced,incomplete,married,regularly,no,3,school_bus,> 10,70,63,66
148,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,5 - 10,82,78,74
149,female,group E,some college,free/reduced,completed,married,sometimes,yes,3,school_bus,5 - 10,75,88,85
150,male,group B,master's degree,free/reduced,incomplete,single,never,no,2,school_bus,5 - 10,48,53,52
151,male,group C,high school,standard,incomplete,divorced,sometimes,yes,1,school_bus,5 - 10,52,53,49
152,female,group E,master's degree,standard,incomplete,married,never,yes,3,private,< 5,76,89,86
153,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0,school_bus,5 - 10,96,100,100
154,male,group C,high school,free/reduced,completed,single,sometimes,yes,5,private,5 - 10,53,51,51
155,female,group B,master's degree,free/reduced,completed,married,regularly,no,1,private,> 10,62,79,83
156,female,group B,high school,standard,completed,married,regularly,yes,2,private,5 - 10,70,84,79
157,male,group A,high school,standard,completed,divorced,regularly,yes,5,school_bus,> 10,76,75,77
158,male,group E,some high school,standard,incomplete,married,sometimes,no,3,school_bus,< 5,91,86,76
159,female,group D,some college,standard,incomplete,single,never,yes,3,school_bus,5 - 10,76,84,78
160,female,group C,associate's degree,standard,incomplete,married,sometimes,yes,2,school_bus,5 - 10,63,67,70
161,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,41,50,52
162,female,group C,master's degree,standard,completed,divorced,sometimes,yes,1,school_bus,5 - 10,81,92,89
163,female,group B,high school,free/reduced,completed,married,sometimes,no,2,school_bus,< 5,44,53,56
164,female,group C,associate's degree,standard,completed,married,regularly,yes,2,school_bus,< 5,70,76,77
165,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2,school_bus,5 - 10,54,72,65
166,female,group D,some high school,standard,completed,divorced,regularly,yes,0,school_bus,5 - 10,99,100,100
167,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2,private,< 5,60,68,75
168,female,group C,some college,free/reduced,incomplete,single,sometimes,yes,1,private,5 - 10,46,64,66
169,female,group E,high school,standard,incomplete,married,sometimes,yes,3,private,5 - 10,50,50,47
170,female,group D,associate's degree,standard,incomplete,single,sometimes,no,2,private,< 5,63,67,68
171,male,group C,associate's degree,free/reduced,completed,married,never,yes,5,private,< 5,61,65,62
172,male,group E,high school,standard,incomplete,married,never,yes,1,school_bus,< 5,75,73,62
173,male,group D,some high school,standard,completed,married,sometimes,no,4,private,5 - 10,62,66,68
174,male,group B,some high school,free/reduced,incomplete,married,regularly,no,3,school_bus,< 5,47,51,45
175,female,group C,bachelor's degree,standard,incomplete,single,sometimes,yes,1,school_bus,< 5,74,86,85
176,female,group E,associate's degree,standard,incomplete,married,sometimes,yes,2,school_bus,5 - 10,66,65,69
177,male,group D,some college,standard,completed,married,sometimes,no,2,school_bus,< 5,73,81,77
178,female,group B,some high school,standard,incomplete,single,sometimes,no,3,private,5 - 10,62,64,66
179,male,group D,some college,standard,completed,married,regularly,yes,4,school_bus,5 - 10,79,62,63
180,female,group C,master's degree,standard,completed,married,regularly,yes,1,school_bus,< 5,69,85,87
181,male,group D,associate's degree,standard,incomplete,married,regularly,no,4,school_bus,< 5,60,54,52
182,male,group C,some college,free/reduced,completed,married,never,yes,1,school_bus,5 - 10,57,67,63
183,male,group E,high school,free/reduced,incomplete,married,sometimes,no,7,private,> 10,56,56,52
184,female,group B,some college,free/reduced,incomplete,widowed,regularly,yes,3,school_bus,> 10,47,54,57
185,female,group B,bachelor's degree,free/reduced,incomplete,married,regularly,yes,3,private,5 - 10,80,80,77
186,female,group C,associate's degree,standard,completed,single,regularly,no,1,private,< 5,66,83,86
187,female,group D,some college,free/reduced,incomplete,divorced,sometimes,yes,3,school_bus,< 5,63,79,75
188,male,group C,associate's degree,standard,incomplete,married,sometimes,yes,2,school_bus,5 - 10,69,77,69
189,female,group C,associate's degree,standard,incomplete,married,regularly,yes,2,school_bus,5 - 10,58,70,69
190,male,group C,some college,standard,incomplete,single,regularly,yes,1,school_bus,< 5,58,40,42
191,male,group D,some high school,standard,completed,married,sometimes,yes,2,school_bus,< 5,71,69,76
192,male,group E,bachelor's degree,standard,incomplete,married,regularly,yes,4,school_bus,5 - 10,84,62,63
193,male,group E,high school,standard,completed,married,regularly,no,2,school_bus,5 - 10,83,81,77
194,female,group B,some college,free/reduced,incomplete,married,regularly,yes,1,private,< 5,73,80,76
195,female,group B,some college,free/reduced,incomplete,single,sometimes,no,2,school_bus,5 - 10,58,61,66
196,male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3,school_bus,< 5,77,77,77
197,male,group C,some college,free/reduced,incomplete,married,sometimes,yes,3,school_bus,5 - 10,35,28,27
198,female,group C,high school,free/reduced,incomplete,divorced,sometimes,yes,2,school_bus,5 - 10,42,62,60
199,male,group C,associate's degree,free/reduced,completed,single,regularly,no,1,school_bus,5 - 10,61,51,57
200,male,group E,high school,standard,incomplete,married,sometimes,yes,1,private,5 - 10,87,91,81
201,male,group B,some high school,standard,completed,married,regularly,no,2,private,5 - 10,86,84,76
202,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,< 5,80,84,86
203,female,group C,high school,free/reduced,incomplete,married,regularly,no,3,school_bus,< 5,33,41,39
204,male,group B,high school,free/reduced,incomplete,married,sometimes,no,2,school_bus,< 5,64,75,68
205,male,group B,some high school,standard,completed,single,never,no,1,school_bus,5 - 10,59,55,54
206,female,group D,high school,standard,completed,widowed,regularly,yes,4,school_bus,5 - 10,57,69,75
207,male,group B,associate's degree,standard,incomplete,married,sometimes,yes,0,school_bus,> 10,89,86,74
208,female,group C,some high school,free/reduced,incomplete,divorced,sometimes,no,3,school_bus,5 - 10,55,65,62
209,male,group D,some high school,standard,incomplete,married,regularly,no,3,school_bus,5 - 10,88,81,76
210,female,group B,associate's degree,standard,completed,divorced,regularly,yes,3,school_bus,> 10,55,67,76
211,female,group E,master's degree,free/reduced,incomplete,married,sometimes,no,2,private,< 5,43,55,52
212,female,group C,some college,standard,incomplete,married,sometimes,yes,5,school_bus,5 - 10,72,72,71
213,male,group D,high school,standard,incomplete,single,regularly,yes,0,school_bus,5 - 10,58,50,55
214,male,group A,some college,free/reduced,incomplete,divorced,sometimes,no,4,school_bus,5 - 10,68,72,64
215,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,> 10,93,97,98
216,male,group D,some college,standard,incomplete,married,regularly,yes,0,school_bus,5 - 10,78,64,67
217,male,group C,associate's degree,standard,incomplete,married,regularly,yes,1,private,5 - 10,47,43,43
218,female,group B,bachelor's degree,standard,incomplete,married,sometimes,yes,2,school_bus,5 - 10,67,86,83
219,male,group E,some high school,standard,incomplete,divorced,sometimes,yes,3,school_bus,> 10,94,88,79
220,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,85,83,85
221,male,group D,associate's degree,standard,incomplete,married,regularly,no,1,school_bus,> 10,84,77,80
222,male,group D,bachelor's degree,free/reduced,incomplete,divorced,regularly,no,2,school_bus,< 5,62,65,67
223,female,group D,some high school,standard,incomplete,married,sometimes,yes,4,school_bus,< 5,62,59,72
224,male,group B,some college,standard,incomplete,married,regularly,yes,2,private,> 10,57,53,53
225,male,group C,associate's degree,standard,incomplete,married,sometimes,yes,1,private,5 - 10,84,80,80
226,male,group D,high school,free/reduced,completed,divorced,sometimes,yes,1,private,> 10,75,69,67
227,female,group E,bachelor's degree,standard,incomplete,single,regularly,no,4,private,5 - 10,82,84,85
228,male,group E,some college,standard,incomplete,single,regularly,no,2,school_bus,< 5,58,50,43
229,male,group D,some high school,standard,incomplete,divorced,regularly,yes,1,school_bus,< 5,74,73,69
230,male,group C,associate's degree,standard,incomplete,married,sometimes,no,3,private,< 5,82,74,69
231,male,group E,associate's degree,standard,incomplete,married,regularly,no,2,school_bus,5 - 10,91,77,75
232,female,group B,high school,standard,completed,single,sometimes,yes,1,private,5 - 10,58,70,68
233,female,group B,high school,standard,incomplete,married,sometimes,yes,2,private,< 5,63,63,60
234,male,group C,high school,standard,incomplete,married,sometimes,no,2,school_bus,> 10,70,60,54
235,male,group A,some high school,standard,completed,single,sometimes,yes,2,school_bus,5 - 10,47,49,49
236,female,group D,some college,free/reduced,incomplete,married,regularly,yes,4,school_bus,< 5,70,82,83
237,female,group B,some high school,standard,completed,single,sometimes,yes,3,private,5 - 10,60,70,70
238,male,group D,master's degree,standard,incomplete,married,sometimes,no,3,school_bus,5 - 10,80,80,72
239,male,group D,high school,standard,incomplete,married,sometimes,yes,0,private,5 - 10,54,52,52
240,female,group E,some college,standard,incomplete,single,sometimes,no,1,school_bus,5 - 10,62,73,70
241,female,group C,associate's degree,free/reduced,incomplete,single,sometimes,no,5,private,< 5,62,71,66
242,male,group C,associate's degree,standard,completed,married,regularly,yes,1,school_bus,5 - 10,80,78,78
243,female,group C,some high school,free/reduced,completed,married,sometimes,yes,1,private,> 10,65,80,78
244,male,group C,some college,standard,completed,married,sometimes,no,2,school_bus,5 - 10,79,79,78
245,female,group C,some high school,free/reduced,incomplete,married,regularly,no,2,private,5 - 10,45,50,52
246,female,group E,high school,standard,incomplete,single,sometimes,yes,1,private,5 - 10,99,93,90
247,male,group D,high school,standard,incomplete,married,sometimes,no,2,private,5 - 10,76,73,68
248,male,group D,some high school,free/reduced,incomplete,divorced,sometimes,no,1,school_bus,< 5,57,41,40
249,female,group C,bachelor's degree,standard,incomplete,married,sometimes,no,2,school_bus,< 5,61,73,79
250,female,group D,high school,standard,incomplete,married,regularly,no,3,school_bus,5 - 10,71,73,78
251,female,group D,associate's degree,standard,completed,married,regularly,yes,5,school_bus,> 10,93,94,99
252,female,group E,some college,free/reduced,incomplete,married,sometimes,no,2,school_bus,5 - 10,71,76,70
253,male,group C,bachelor's degree,standard,incomplete,married,sometimes,yes,2,school_bus,5 - 10,69,63,61
254,male,group C,some college,standard,incomplete,single,regularly,yes,1,school_bus,< 5,57,48,42
255,female,group D,associate's degree,free/reduced,incomplete,single,regularly,yes,2,private,5 - 10,48,53,59
256,female,group D,some college,standard,incomplete,married,sometimes,no,2,private,5 - 10,65,70,71
257,male,group B,some college,standard,completed,widowed,sometimes,yes,1,school_bus,< 5,85,83,74
258,male,group C,bachelor's degree,standard,incomplete,married,sometimes,no,3,school_bus,5 - 10,83,78,73
259,female,group C,some high school,standard,completed,married,sometimes,yes,3,private,< 5,82,90,91
260,female,group E,some college,standard,completed,single,sometimes,no,4,school_bus,< 5,57,62,73
261,female,group C,some high school,free/reduced,incomplete,married,sometimes,yes,1,school_bus,5 - 10,65,86,80
262,male,group B,bachelor's degree,free/reduced,incomplete,widowed,sometimes,no,2,school_bus,5 - 10,73,56,57
263,male,group D,high school,standard,incomplete,divorced,sometimes,no,2,private,5 - 10,45,48,46
264,female,group D,bachelor's degree,free/reduced,incomplete,divorced,regularly,no,3,school_bus,5 - 10,75,80,86
265,female,group D,some college,free/reduced,completed,married,never,yes,2,school_bus,5 - 10,67,76,76
266,female,group C,some high school,standard,incomplete,married,regularly,yes,0,private,< 5,36,45,46
267,male,group B,associate's degree,standard,completed,married,never,yes,3,school_bus,5 - 10,78,80,79
268,male,group E,associate's degree,standard,completed,married,regularly,yes,0,private,5 - 10,99,83,90
269,female,group B,some high school,standard,incomplete,married,sometimes,no,1,school_bus,< 5,64,87,80
270,male,group B,bachelor's degree,free/reduced,incomplete,single,sometimes,yes,0,school_bus,< 5,85,73,74
271,male,group C,some high school,standard,completed,married,sometimes,yes,1,school_bus,> 10,79,77,78
272,male,group C,associate's degree,standard,incomplete,married,sometimes,no,2,school_bus,5 - 10,76,70,68
273,male,group D,some high school,standard,incomplete,married,sometimes,yes,2,private,< 5,83,71,68
274,male,group C,some high school,standard,completed,married,never,yes,1,private,5 - 10,61,59,55
275,female,group E,bachelor's degree,standard,incomplete,married,sometimes,yes,2,school_bus,> 10,66,74,76
276,male,group D,high school,free/reduced,completed,single,regularly,yes,3,school_bus,5 - 10,80,78,82
277,male,group B,associate's degree,free/reduced,incomplete,married,never,yes,1,school_bus,> 10,66,61,59
278,male,group C,some high school,standard,completed,widowed,regularly,no,2,school_bus,5 - 10,47,41,44
279,male,group C,associate's degree,standard,completed,single,regularly,no,1,school_bus,5 - 10,73,75,69
280,male,group C,some college,free/reduced,completed,single,regularly,no,2,private,< 5,39,45,50
281,male,group D,associate's degree,free/reduced,incomplete,married,regularly,no,2,school_bus,< 5,89,86,75
282,male,group A,some college,free/reduced,completed,married,never,yes,2,private,< 5,76,75,77
283,male,group D,some high school,free/reduced,incomplete,divorced,regularly,no,4,school_bus,< 5,55,53,52
284,female,group C,associate's degree,standard,completed,single,never,yes,5,school_bus,> 10,66,83,80
285,male,group B,associate's degree,standard,incomplete,married,regularly,yes,1,school_bus,5 - 10,82,77,65
286,female,group C,associate's degree,standard,completed,married,regularly,yes,2,school_bus,5 - 10,76,76,85
287,male,group A,some college,standard,incomplete,married,sometimes,yes,7,private,5 - 10,69,67,69
288,male,group E,some college,standard,completed,divorced,regularly,yes,5,private,5 - 10,100,88,83
289,male,group C,some high school,standard,incomplete,single,regularly,no,2,school_bus,5 - 10,52,52,45
290,female,group B,associate's degree,free/reduced,incomplete,married,regularly,no,3,private,> 10,56,73,70
291,female,group D,high school,free/reduced,incomplete,single,regularly,yes,5,school_bus,< 5,48,56,52
292,female,group B,associate's degree,standard,incomplete,married,sometimes,no,2,school_bus,5 - 10,73,76,80
293,male,group B,bachelor's degree,standard,incomplete,married,never,yes,3,school_bus,< 5,62,58,54
294,male,group D,bachelor's degree,standard,completed,single,sometimes,yes,0,private,5 - 10,67,61,68
295,female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,> 10,70,68,70
296,male,group C,high school,standard,incomplete,married,regularly,no,3,private,5 - 10,73,66,66
297,female,group D,master's degree,standard,completed,widowed,never,yes,3,private,5 - 10,74,80,88
